time_hrs,c_top,c_mid,c_bot,mid_quarter,mid_corner
35.7500,77.7380,105.2780,93.8120,105.2780,93.1460
35.8333,77.7560,105.3320,93.8480,105.3320,93.1820
35.9167,77.7560,105.4040,93.8840,105.4040,93.2000
36.0000,77.7560,105.4760,93.9200,105.4760,93.2360
36.0833,77.7560,105.5300,93.9560,105.5300,93.2720
36.1667,77.7560,105.6020,93.9920,105.6020,93.2900
36.2500,77.7560,105.6740,94.0100,105.6740,93.3260
36.3333,77.7560,105.7460,94.0460,105.7460,93.3620
36.4167,77.7380,105.8000,94.0820,105.8000,93.3800
36.5000,77.7380,105.8720,94.1180,105.8720,93.4160
36.5833,77.7200,105.9440,94.1360,105.9440,93.4520
36.6667,77.7020,105.9980,94.1720,105.9980,93.4700
36.7500,77.7020,106.0700,94.2080,106.0700,93.5060
36.8333,77.6660,106.1420,94.2440,106.1420,93.5240
36.9167,77.6480,106.1960,94.2800,106.1960,93.5600
37.0000,77.6300,106.2680,94.2980,106.2680,93.5780
37.0833,77.6120,106.3400,94.3340,106.3400,93.6140
37.1667,77.5760,106.3940,94.3700,106.3940,93.6320
37.2500,77.5580,106.4660,94.4060,106.4660,93.6680
37.3333,77.5220,106.5380,94.4240,106.5380,93.6860
37.4167,77.4860,106.5920,94.4600,106.5920,93.7040
37.5000,77.4500,106.6640,94.4960,106.6640,93.7220
37.5833,77.4140,106.7360,94.5320,106.7360,93.7400
37.6667,77.3780,106.7900,94.5500,106.7900,93.7580
37.7500,77.3420,106.8620,94.5860,106.8620,93.7580
37.8333,77.3060,106.9160,94.6220,106.9160,93.7760
37.9167,77.2520,106.9880,94.6580,106.9880,93.7940
38.0000,77.2160,107.0600,94.6760,107.0600,93.7940
38.0833,77.1620,107.1140,94.7120,107.1140,93.8120
38.1667,77.1260,107.1860,94.7480,107.1860,93.8120
